id;userID;datum;uhrzeit;accountID;batchID;type;marginRate;amount;accountBalance;instrument;units;positionFill;reason;orderID;gainQuoteHomeConversionFactor;lossQuoteHomeConversionFactor;price;fullVWAP;pl;halfSpreadCost
232;37633556;2025-11-20;13:47:40.732805;101-011-37633556-002;231;ORDER_FILL;;;102524.7902;EUR_USD;2800000.0;;MARKET_ORDER_POSITION_CLOSEOUT;231;0.863595338145;0.872274688277;1.15223;1.15223;2006.9956;170.1153
200;37633556;2025-11-20;09:00:17.778971;101-011-37633556-002;199;ORDER_FILL;;;99856.1307;EUR_USD;-99879.0;;MARKET_ORDER_POSITION_CLOSEOUT;199;0.863644060791;0.872323900598;1.15205;1.15205;-23.5242;3.9012
209;37633556;2025-11-20;09:45:23.481996;101-011-37633556-002;209;MARKET_ORDER;;;;EUR_USD;-1000000.0;DEFAULT;CLIENT_ORDER;;;;;;;
208;37633556;2025-11-20;09:44:42.385165;101-011-37633556-002;207;ORDER_FILL;;;99773.4227;EUR_USD;-99803.0;;MARKET_ORDER_POSITION_CLOSEOUT;207;0.863460441185;0.872138435569;1.15229;1.15229;-29.5943;4.3304
207;37633556;2025-11-20;09:44:42.385165;101-011-37633556-002;207;MARKET_ORDER;;;;EUR_USD;-99803.0;REDUCE_ONLY;POSITION_CLOSEOUT;;;;;;;
206;37633556;2025-11-20;09:30:25.336719;101-011-37633556-002;205;ORDER_FILL;;;99803.017;EUR_USD;99803.0;;MARKET_ORDER;205;0.863284389659;0.871960614681;1.15263;1.15263;0.0;4.7625
204;37633556;2025-11-20;09:30:10.590250;101-011-37633556-002;203;ORDER_FILL;;;99803.017;EUR_USD;99856.0;;MARKET_ORDER_POSITION_CLOSEOUT;203;0.863295624344;0.871971962277;1.15261;1.15261;-53.1137;4.3319
203;37633556;2025-11-20;09:30:10.590250;101-011-37633556-002;203;MARKET_ORDER;;;;EUR_USD;99856.0;REDUCE_ONLY;POSITION_CLOSEOUT;;;;;;;
202;37633556;2025-11-20;09:00:37.456802;101-011-37633556-002;201;ORDER_FILL;;;99856.1307;EUR_USD;-99856.0;;MARKET_ORDER;201;0.863674048042;0.872354189228;1.152;1.152;0.0;4.7672
201;37633556;2025-11-20;09:00:37.456802;101-011-37633556-002;201;MARKET_ORDER;;;;EUR_USD;-99856.0;DEFAULT;CLIENT_ORDER;;;;;;;
199;37633556;2025-11-20;09:00:17.778971;101-011-37633556-002;199;MARKET_ORDER;;;;EUR_USD;-99879.0;REDUCE_ONLY;POSITION_CLOSEOUT;;;;;;;
211;37633556;2025-11-20;09:53:51.587578;101-011-37633556-002;211;MARKET_ORDER;;;;EUR_USD;1000000.0;REDUCE_ONLY;POSITION_CLOSEOUT;;;;;;;
198;37633556;2025-11-20;08:33:47.955246;101-011-37633556-002;197;ORDER_FILL;;;99879.6549;EUR_USD;99879.0;;MARKET_ORDER;197;0.863520391292;0.87219898819;1.15232;1.15232;0.0;5.2009
197;37633556;2025-11-20;08:33:47.955246;101-011-37633556-002;197;MARKET_ORDER;;;;EUR_USD;99879.0;DEFAULT;CLIENT_ORDER;;;;;;;
