Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Originalauflösungen;∅ Anrainer DE/LU [€/MWh] Originalauflösungen;Belgien [€/MWh] Originalauflösungen;Dänemark 1 [€/MWh] Originalauflösungen;Dänemark 2 [€/MWh] Originalauflösungen;Frankreich [€/MWh] Originalauflösungen;Niederlande [€/MWh] Originalauflösungen;Norwegen 2 [€/MWh] Originalauflösungen;Österreich [€/MWh] Originalauflösungen;Polen [€/MWh] Originalauflösungen;Schweden 4 [€/MWh] Originalauflösungen;Schweiz [€/MWh] Originalauflösungen;Tschechien [€/MWh] Originalauflösungen;DE/AT/LU [€/MWh] Originalauflösungen;Italien (Nord) [€/MWh] Originalauflösungen;Slowenien [€/MWh] Originalauflösungen;Ungarn [€/MWh] Originalauflösungen
12.10.2025 00:00;12.10.2025 00:15;108,73;94,41;108,15;108,39;107,84;106,80;108,39;67,84;108,95;108,80;5,32;99,18;108,82;-;105,10;109,01;108,91
12.10.2025 00:15;12.10.2025 00:30;105,82;89,19;105,82;87,58;87,13;105,82;105,82;67,99;105,82;105,82;4,30;99,18;105,82;-;102,55;105,82;105,82
12.10.2025 00:30;12.10.2025 00:45;87,80;77,59;84,19;85,67;85,24;75,85;85,67;68,21;89,14;88,25;3,72;99,18;88,33;-;94,30;89,50;88,89
12.10.2025 00:45;12.10.2025 01:00;82,36;75,37;82,36;82,36;81,94;82,36;82,36;68,13;82,36;82,36;3,28;99,18;82,36;-;91,12;82,36;82,36
12.10.2025 01:00;12.10.2025 01:15;101,10;86,44;101,45;87,55;87,09;87,49;111,83;67,92;104,56;102,19;3,14;95,00;102,58;-;93,58;104,96;103,72
12.10.2025 01:15;12.10.2025 01:30;96,85;82,50;93,56;87,53;87,08;85,96;94,96;67,91;98,07;97,26;2,89;95,00;97,33;-;95,99;98,39;97,84
12.10.2025 01:30;12.10.2025 01:45;86,20;76,06;82,82;84,26;83,82;75,01;84,26;67,90;87,45;86,62;2,83;95,00;86,69;-;101,32;87,78;87,21
12.10.2025 01:45;12.10.2025 02:00;84,52;72,67;77,91;77,78;77,37;62,66;80,72;67,81;86,96;85,33;2,38;95,00;85,47;-;105,10;87,60;86,50
12.10.2025 02:00;12.10.2025 02:15;97,66;82,66;94,75;87,52;87,06;88,13;95,95;67,93;98,74;98,02;2,99;90,04;98,08;-;103,77;99,02;98,53
12.10.2025 02:15;12.10.2025 02:30;87,85;76,17;83,18;85,10;84,65;72,56;85,10;67,93;89,58;88,43;2,81;90,04;88,53;-;106,27;90,04;89,26
12.10.2025 02:30;12.10.2025 02:45;84,71;72,53;79,27;76,44;76,03;66,90;81,51;67,92;86,73;85,39;2,08;90,04;85,50;-;102,63;87,26;86,35
12.10.2025 02:45;12.10.2025 03:00;85,22;70,87;77,35;71,13;70,75;59,47;80,58;67,91;88,13;86,19;1,71;90,04;86,35;-;95,35;88,89;87,58
12.10.2025 03:00;12.10.2025 03:15;90,23;74,33;84,69;70,82;70,44;72,17;86,97;67,61;92,28;90,92;1,73;89,00;91,03;-;90,49;92,82;91,89
12.10.2025 03:15;12.10.2025 03:30;85,83;71,24;78,64;70,64;70,26;62,36;81,60;67,43;88,50;86,73;1,61;89,00;86,87;-;91,15;89,20;88,00
12.10.2025 03:30;12.10.2025 03:45;84,80;69,63;74,99;70,48;70,11;52,80;79,03;67,28;88,44;86,02;1,56;89,00;86,22;-;90,76;89,39;87,75
12.10.2025 03:45;12.10.2025 04:00;79,66;68,01;70,39;74,20;73,81;49,43;74,20;66,91;83,09;84,46;1,64;89,00;81,00;-;89,55;84,00;82,45
12.10.2025 04:00;12.10.2025 04:15;79,40;68,58;77,47;65,07;64,73;73,04;78,26;66,05;80,11;81,88;1,44;86,70;79,68;-;101,66;80,30;79,98
12.10.2025 04:15;12.10.2025 04:30;82,20;68,08;73,65;69,09;68,73;53,97;77,17;65,96;85,37;83,27;1,53;86,70;83,44;-;117,13;86,21;84,78
12.10.2025 04:30;12.10.2025 04:45;92,22;73,76;84,17;68,99;68,63;65,68;87,48;65,87;95,20;93,79;1,52;86,70;93,38;-;126,14;95,98;94,64
12.10.2025 04:45;12.10.2025 05:00;91,83;74,27;81,83;76,99;76,58;58,83;85,94;65,80;95,53;93,78;1,71;86,70;93,28;-;134,55;96,51;94,84
12.10.2025 05:00;12.10.2025 05:15;83,25;66,58;74,02;59,36;59,05;52,88;77,82;64,43;86,67;84,40;1,12;88,00;84,59;-;127,91;87,57;86,03
12.10.2025 05:15;12.10.2025 05:30;79,83;67,96;74,21;67,53;67,18;58,20;78,54;64,53;82,68;84,45;1,25;88,00;80,97;-;124,62;83,32;82,11
12.10.2025 05:30;12.10.2025 05:45;92,66;73,68;84,44;67,56;67,21;65,62;87,82;64,56;95,71;94,27;1,46;88,00;93,85;-;117,02;96,51;95,14
12.10.2025 05:45;12.10.2025 06:00;90,89;71,43;78,87;67,76;67,41;51,36;83,82;64,79;95,34;94,28;1,50;88,00;92,62;-;108,01;96,51;94,50
12.10.2025 06:00;12.10.2025 06:15;85,56;71,15;80,98;67,04;66,66;69,44;82,89;64,04;87,31;86,18;1,26;90,63;86,27;-;96,51;87,76;86,99
12.10.2025 06:15;12.10.2025 06:30;87,95;73,17;84,87;67,47;67,08;77,14;86,15;64,47;89,12;88,36;1,16;90,63;88,43;-;84,47;89,42;88,91
12.10.2025 06:30;12.10.2025 06:45;90,49;74,25;86,24;67,98;67,59;75,54;88,01;65,00;92,12;91,07;1,37;90,63;91,15;-;92,48;92,53;91,82
12.10.2025 06:45;12.10.2025 07:00;89,20;73,77;85,87;66,91;66,53;77,50;87,26;65,44;90,47;89,65;1,46;90,63;89,72;-;89,83;90,80;90,24
12.10.2025 07:00;12.10.2025 07:15;97,64;78,16;91,40;70,35;69,95;75,96;94,00;66,26;100,02;98,49;1,70;93,00;98,61;-;90,09;100,63;99,59
12.10.2025 07:15;12.10.2025 07:30;86,04;73,89;85,35;69,29;68,91;83,66;85,64;66,64;86,30;86,13;1,68;93,00;86,14;-;91,43;86,37;86,25
12.10.2025 07:30;12.10.2025 07:45;86,65;73,76;84,24;69,65;69,27;78,26;85,24;66,97;87,57;86,98;3,19;93,00;87,03;-;85,92;87,81;87,41
12.10.2025 07:45;12.10.2025 08:00;86,36;74,71;86,36;70,07;69,68;86,36;86,36;67,33;86,36;86,36;3,59;93,00;86,36;-;93,17;86,36;86,36
12.10.2025 08:00;12.10.2025 08:15;102,86;82,62;100,14;70,65;70,32;93,32;101,27;67,94;103,89;103,22;3,60;91,20;103,28;-;90,28;104,15;103,70
12.10.2025 08:15;12.10.2025 08:30;88,47;75,72;87,87;70,73;70,40;86,35;88,12;67,99;88,70;88,55;4,41;91,20;88,56;-;113,03;88,75;88,65
12.10.2025 08:30;12.10.2025 08:45;86,44;74,68;85,83;71,01;70,68;84,30;86,09;68,24;86,68;86,53;4,41;91,20;86,54;-;106,01;86,74;86,63
12.10.2025 08:45;12.10.2025 09:00;76,87;69,77;76,87;71,23;70,90;76,87;76,87;68,44;76,87;76,87;4,45;91,20;76,87;-;128,25;76,87;76,87
