timestamp;value;datetime
1758492000000;87.33;2025-09-21 22:00:00
1758495600000;83.57;2025-09-21 23:00:00
1758499200000;79.21;2025-09-22 00:00:00
1758502800000;79.21;2025-09-22 01:00:00
1758506400000;80.35;2025-09-22 02:00:00
1758510000000;93.59;2025-09-22 03:00:00
1758513600000;118.69;2025-09-22 04:00:00
1758517200000;130.0;2025-09-22 05:00:00
1758520800000;130.0;2025-09-22 06:00:00
1758524400000;108.57;2025-09-22 07:00:00
1758528000000;91.82;2025-09-22 08:00:00
1758531600000;77.86;2025-09-22 09:00:00
1758535200000;74.04;2025-09-22 10:00:00
1758538800000;71.17;2025-09-22 11:00:00
1758542400000;70.23;2025-09-22 12:00:00
1758546000000;78.39;2025-09-22 13:00:00
1758549600000;84.79;2025-09-22 14:00:00
1758553200000;100.13;2025-09-22 15:00:00
1758556800000;128.08;2025-09-22 16:00:00
1758560400000;140.92;2025-09-22 17:00:00
1758564000000;130.0;2025-09-22 18:00:00
1758567600000;114.24;2025-09-22 19:00:00
1758571200000;97.72;2025-09-22 20:00:00
1758574800000;89.99;2025-09-22 21:00:00
1758578400000;88.6;2025-09-22 22:00:00
1758582000000;90.0;2025-09-22 23:00:00
1758585600000;89.73;2025-09-23 00:00:00
1758589200000;89.93;2025-09-23 01:00:00
1758592800000;91.34;2025-09-23 02:00:00
1758596400000;98.11;2025-09-23 03:00:00
1758600000000;122.01;2025-09-23 04:00:00
1758603600000;172.36;2025-09-23 05:00:00
1758607200000;162.8;2025-09-23 06:00:00
1758610800000;125.76;2025-09-23 07:00:00
1758614400000;93.92;2025-09-23 08:00:00
1758618000000;85.51;2025-09-23 09:00:00
1758621600000;77.54;2025-09-23 10:00:00
1758625200000;74.24;2025-09-23 11:00:00
1758628800000;74.25;2025-09-23 12:00:00
1758632400000;84.11;2025-09-23 13:00:00
1758636000000;85.76;2025-09-23 14:00:00
1758639600000;102.9;2025-09-23 15:00:00
1758643200000;136.83;2025-09-23 16:00:00
1758646800000;149.58;2025-09-23 17:00:00
1758650400000;115.81;2025-09-23 18:00:00
1758654000000;94.0;2025-09-23 19:00:00
1758657600000;84.91;2025-09-23 20:00:00
1758661200000;84.1;2025-09-23 21:00:00
1758664800000;82.67;2025-09-23 22:00:00
1758668400000;82.32;2025-09-23 23:00:00
1758672000000;81.61;2025-09-24 00:00:00
1758675600000;77.95;2025-09-24 01:00:00
1758679200000;78.59;2025-09-24 02:00:00
1758682800000;82.67;2025-09-24 03:00:00
1758686400000;109.76;2025-09-24 04:00:00
1758690000000;118.01;2025-09-24 05:00:00
1758693600000;120.45;2025-09-24 06:00:00
1758697200000;107.0;2025-09-24 07:00:00
1758700800000;85.54;2025-09-24 08:00:00
1758704400000;70.09;2025-09-24 09:00:00
1758708000000;27.1;2025-09-24 10:00:00
1758711600000;10.66;2025-09-24 11:00:00
1758715200000;9.9;2025-09-24 12:00:00
1758718800000;15.0;2025-09-24 13:00:00
1758722400000;66.1;2025-09-24 14:00:00
1758726000000;85.69;2025-09-24 15:00:00
1758729600000;113.08;2025-09-24 16:00:00
1758733200000;115.93;2025-09-24 17:00:00
1758736800000;113.95;2025-09-24 18:00:00
1758740400000;91.29;2025-09-24 19:00:00
1758744000000;85.5;2025-09-24 20:00:00
1758747600000;69.68;2025-09-24 21:00:00
1758751200000;73.3;2025-09-24 22:00:00
1758754800000;69.69;2025-09-24 23:00:00
1758758400000;67.81;2025-09-25 00:00:00
1758762000000;68.09;2025-09-25 01:00:00
1758765600000;71.69;2025-09-25 02:00:00
1758769200000;77.33;2025-09-25 03:00:00
1758772800000;108.55;2025-09-25 04:00:00
1758776400000;124.26;2025-09-25 05:00:00
1758780000000;124.99;2025-09-25 06:00:00
1758783600000;104.88;2025-09-25 07:00:00
1758787200000;77.95;2025-09-25 08:00:00
1758790800000;69.24;2025-09-25 09:00:00
1758794400000;38.18;2025-09-25 10:00:00
1758798000000;16.03;2025-09-25 11:00:00
1758801600000;20.1;2025-09-25 12:00:00
1758805200000;43.66;2025-09-25 13:00:00
1758808800000;75.0;2025-09-25 14:00:00
1758812400000;88.79;2025-09-25 15:00:00
1758816000000;117.04;2025-09-25 16:00:00
1758819600000;121.47;2025-09-25 17:00:00
